id,target
5,0.1176035
6,0.5101987
8,0.056435075
9,0.20906265
11,0.117342174
15,0.35630953
16,0.07256691
17,0.06363353
21,0.26053637
24,0.062794484
26,0.040953852
27,0.8608787
28,0.17202614
29,0.059738785
30,0.12221479
31,0.025794772
32,0.2334044
33,0.07516997
34,0.02748799
35,0.72044706
38,0.016186303
42,0.1737369
44,0.019513788
45,0.14784336
48,0.13792753
50,0.15979151
53,0.14820834
54,0.09894138
57,0.03497699
59,0.024259944
62,0.122380294
63,0.15165608
64,0.16159144
65,0.14365801
66,0.109716654
70,0.7171007
71,0.06874155
76,0.3447461
78,0.16197069
79,0.18829928
81,0.06688401
83,0.9185023
85,0.5708065
86,0.5228729
88,0.09259499
89,0.056561366
91,0.6178075
93,0.14158812
94,0.9334455
97,0.63244843
99,0.14483769
102,0.19440398
103,0.123755455
104,0.024717407
107,0.15602264
110,0.24688889
114,0.06497309
119,0.11629715
130,0.7509712
131,0.33050498
132,0.85767895
133,0.031951055
136,0.17544784
139,0.21293531
143,0.01987717
145,0.026706135
146,0.049850285
147,0.04548097
148,0.07200829
149,0.02519955
153,0.032205455
157,0.025399277
160,0.05033803
165,0.16606122
167,0.027203029
170,0.057273645
176,0.5415385
179,0.08633435
180,0.05215384
181,0.06948753
185,0.26202908
187,0.74279994
191,0.85316247
192,0.01813912
193,0.006011597
197,0.865923
198,0.09067574
199,0.5151122
200,0.0967028
201,0.17153473
202,0.07677004
203,0.31274614
204,0.03536526
206,0.047554005
209,0.031991076
210,0.82210815
211,0.15201837
213,0.59519076
214,0.1919052
216,0.039282326
221,0.052214287
222,0.07657616
223,0.8326803
226,0.3825985
228,0.8608983
229,0.06654989
233,0.19930686
236,0.9429463
239,0.03598173
242,0.05973432
244,0.77340335
247,0.20459504
250,0.07823711
251,0.04698014
253,0.3104341
258,0.3773739
259,0.20106441
260,0.7529504
261,0.6617413
262,0.01361
263,0.125025
267,0.19930813
268,0.056413975
269,0.025917714
271,0.100680195
276,0.7440004
283,0.0593658
286,0.013592459
291,0.12929042
292,0.08182801
293,0.054656334
294,0.05497905
295,0.038389213
298,0.028096536
300,0.666874
302,0.4002217
304,0.73162967
305,0.16136178
307,0.35877597
309,0.49138775
314,0.09836069
315,0.08743418
316,0.048193995
317,0.11994691
319,0.81549984
320,0.06597954
322,0.030649513
331,0.019079493
332,0.09390924
333,0.04574396
334,0.075431444
335,0.09851804
339,0.065442935
340,0.04865542
342,0.09411318
344,0.036362126
345,0.052440047
348,0.03970649
349,0.020435726
351,0.15629329
352,0.0795453
354,0.3780663
357,0.18108653
358,0.042748153
360,0.12835485
362,0.22322387
365,0.10889946
366,0.026319573
367,0.03470633
369,0.012128679
373,0.67451245
375,0.025261786
377,0.63534564
380,0.04728292
384,0.05701486
388,0.14832526
391,0.092485495
397,0.10148796
403,0.09798267
404,0.12981091
405,0.023650244
408,0.11331903
409,0.017212275
410,0.22851604
411,0.54018885
412,0.11116928
414,0.16228068
420,0.38144767
422,0.12128368
425,0.056201875
428,0.04266607
429,0.09787263
431,0.87832516
437,0.019314352
438,0.0836492
441,0.26185435
445,0.14150193
447,0.059508353
448,0.15939718
452,0.033177827
453,0.15432507
459,0.15610677
461,0.08997279
464,0.028720012
465,0.089008905
467,0.091304794
469,0.043924738
470,0.43800098
475,0.902099
476,0.043734305
483,0.36246353
484,0.04801787
485,0.12989958
488,0.1836503
493,0.5779031
495,0.23674902
498,0.16995238
499,0.053370256
501,0.36255527
505,0.09384171
507,0.03958297
514,0.099361196
519,0.65141094
520,0.57817596
524,0.0405661
527,0.11462226
528,0.3019161
529,0.017842053
530,0.022754591
531,0.2653601
533,0.6408994
536,0.16731226
537,0.07782831
538,0.06100976
540,0.09661004
541,0.14074998
543,0.07778112
544,0.5409994
548,0.077787325
552,0.14395328
555,0.23208052
556,0.6488065
557,0.15551634
558,0.037152518
560,0.3381015
563,0.04330836
567,0.28339946
573,0.0127483625
574,0.25560573
576,0.36744678
578,0.029256454
580,0.03920844
581,0.122159064
582,0.074646
583,0.0034880058
584,0.1541789
586,0.058385998
587,0.04837277
591,0.03685188
592,0.55680066
593,0.046277735
595,0.037566114
597,0.18909653
601,0.2096495
603,0.10442211
605,0.01740428
608,0.16256446
611,0.07714786
612,0.049996253
617,0.07007294
619,0.70049113
622,0.14736944
623,0.35913587
624,0.75057834
625,0.04774334
630,0.026861507
632,0.16747771
634,0.032250304
637,0.024520254
638,0.6273363
640,0.036956545
642,0.56590647
644,0.30262077
647,0.087827474
648,0.9015085
649,0.30990842
650,0.036850203
653,0.021024354
655,0.042243756
658,0.13312805
660,0.09166292
664,0.120626666
665,0.17170389
666,0.03642625
667,0.35632205
668,0.062035948
672,0.04618413
674,0.31022432
675,0.82662266
676,0.5670863
677,0.55158746
678,0.022067847
679,0.06566709
680,0.025713373
682,0.12508015
683,0.24012639
686,0.73791844
692,0.024730641
694,0.07221466
695,0.31693485
696,0.028611444
701,0.2073304
707,0.07032445
708,0.7588798
713,0.10196224
715,0.19202377
716,0.3499736
724,0.12758785
726,0.5267276
727,0.0338372
731,0.77876896
736,0.18986362
737,0.019545348
738,0.06414617
740,0.37383354
741,0.21595353
745,0.3406794
746,0.040687453
747,0.07670056
748,0.7975271
749,0.4268627
753,0.06372054
755,0.05053939
758,0.31836548
762,0.95235384
765,0.07156192
770,0.03637636
772,0.045888916
774,0.3753983
776,0.45298645
778,0.11247272
779,0.08625832
781,0.35646385
783,0.8824001
784,0.09515296
785,0.40869978
786,0.06963616
791,0.038075626
796,0.61237574
797,0.35668975
802,0.046452083
807,0.07356779
815,0.119288854
816,0.022917317
818,0.059889704
821,0.2837133
822,0.115448445
828,0.51683897
833,0.6066574
835,0.2695295
836,0.3178954
